Species,PlantGeno,Isolate,PlantID,LeafID,LeafPos,Experiment,Replicate,AgarFlat,Lesion.Size,pixelsPERcm
Dm,LA3008,KernB2,5,1,B,96b,96b127,127-6b.jpg,12793,85.8714
Dm,LA3008,1.04.12,5,4,A,96b,96b208a,208a-7b.jpg,17306,86.0607
Dm,LA3008,PepperSub,3,1,B,96a,96a208a,208a-3b.jpg,1425,92.7904
Dm,LA3008,1.04.12,2,3,A,96b,96b127,127-2b.jpg,4086,86.4574
Dm,LA3008,1.04.15,2,2,A,96a,96a208a,208a-2b.jpg,2228,92.5976
Dm,LA3008,KernB1,1,2,B,96b,96b208a,208a-1b.jpg,8054,84.5843
Dm,LA3008,Triple3,5,1,B,96b,96b208b,208b-6a.jpg,13289,86.7936
Dm,LA3008,1.02.05,4,2,A,96a,96a208b,208b-5b.jpg,0.876587235,91.5341
Dm,LA3008,Pepper,1,2,B,96a,96a127,127-1b.jpg,1941,92.7
Dm,LA3008,1.01.02,3,4,A,96b,96b127,127-4b.jpg,9039,86.4227
Dm,LA3008,Grape,5,1,B,96b,96b208b,208b-6a.jpg,7122,86.7936
Dm,LA3008,Fd2,3,3,B,96b,96b127,127-4b.jpg,8165,86.4227
Dm,LA3008,Navel,3,5,B,96b,96b208b,208b-4a.jpg,366,85.5888
Dm,LA3008,BPA1,2,4,B,96b,96b127,127-2b.jpg,3586,86.4574
Dm,LA3008,1.03.22,1,3,A,96a,96a127,127-1b.jpg,8778,92.7
Dm,LA3008,1.04.01,3,4,A,96a,96a208b,208b-4b.jpg,0.898201362,93.1933
Dm,LA3008,1.04.20,5,3,A,96b,96b208a,208a-7b.jpg,2721,86.0607
Dm,LA3008,Apple404,3,4,B,96a,96a127,127-4b.jpg,6790,93.0272
Dm,LA3008,1.05.22,2,5,A,96b,96b208b,208b-3a.jpg,10528,86.4356
Dm,LA3008,1.02.06,3,2,A,96a,96a208a,208a-3b.jpg,283,92.7904
Dm,LA3008,Apple517,4,5,B,96a,96a208b,208b-6b.jpg,0.923517622,93.0293
Dm,LA3008,1.05.24,3,2,A,96a,96a208b,208b-3b.jpg,0.713564307,92.0386
Dm,LA3008,1.02.03,4,4,A,96a,96a208b,208b-6b.jpg,0.858467041,93.0293
Dm,LA3008,1.02.06,5,2,A,96b,96b208b,208b-7a.jpg,1015,87.0521
Dm,LA3008,1.02.01,3,5,A,96a,96a208a,208a-4b.jpg,2366,92.7109
Dm,LA3008,1.04.04,4,4,A,96b,96b208a,208a-6b.jpg,2952,85.8214
Dm,LA3008,1.01.02,1,3,A,96a,96a208a,208a-1b.jpg,1697,92.3072
Dm,LA3008,1.04.03,5,1,A,96b,96b208a,208a-6b.jpg,10107,85.8214
